1,2020-02-01,ATM,최효효,15000,0,15000
2,2020-02-04,ATM,박정정,16000,0,16000
3,2020-02-08,ATM,손돈효,20000,0,20000
4,2020-02-10,ATM,최돈수,27000,0,27000
5,2020-02-17,ATM,손찬제,29000,0,29000
6,2020-02-21,ATM,정진나,3000,0,3000
7,2020-02-23,ATM,유신제,30000,0,30000
8,2020-02-27,ATM,최형정,6000,0,6000
9,2020-03-07,ATM,최수현,18000,0,18000
10,2020-03-08,ATM,손현연,24000,0,24000
11,2020-03-17,ATM,박석나,17000,0,17000
12,2020-03-21,ATM,최제정,6000,0,6000
13,2020-03-25,ATM,김신석,14000,0,14000
14,2020-03-26,ATM,김형민,27000,0,27000
15,2020-03-31,ATM,최돈진,11000,0,11000
16,2020-03-31,ATM,유찬석,9000,0,9000
17,2020-04-05,ATM,김형정,16000,0,16000
18,2020-04-10,ATM,유효효,5000,0,5000
19,2020-04-13,ATM,김수신,2000,0,2000
20,2020-04-13,ATM,손현정,19000,0,19000
21,2020-04-22,ATM,박민신,14000,0,14000
22,2020-04-26,ATM,손나민,4000,0,4000
23,2020-05-02,ATM,이형연,23000,0,23000
24,2020-05-09,ATM,정효수,18000,0,18000
25,2020-05-12,ATM,이석연,2000,0,2000
26,2020-05-21,ATM,김제수,15000,0,15000
27,2020-05-30,ATM,유돈신,23000,0,23000
28,2020-06-01,ATM,손현찬,7000,0,7000
29,2020-06-09,ATM,박연형,14000,0,14000
30,2020-06-11,ATM,손찬진,23000,0,23000
31,2020-06-19,ATM,김현현,18000,0,18000
32,2020-06-21,ATM,이수찬,29000,0,29000
33,2020-06-27,ATM,손민연,2000,0,2000
34,2020-06-29,ATM,정수연,8000,0,8000
35,2020-07-07,ATM,손현찬,29000,0,29000
36,2020-07-16,ATM,정효찬,26000,0,26000
37,2020-07-24,ATM,이찬돈,8000,0,8000
38,2020-07-28,ATM,이효신,24000,0,24000
39,2020-07-31,ATM,박진찬,4000,0,4000
40,2020-08-09,ATM,손효나,27000,0,27000
41,2020-08-11,ATM,정현현,17000,0,17000
42,2020-08-19,ATM,이정정,26000,0,26000
43,2020-08-20,ATM,정돈연,29000,0,29000
44,2020-08-24,ATM,유나연,29000,0,29000
45,2020-08-24,ATM,최연신,12000,0,12000
46,2020-08-30,ATM,유현신,27000,0,27000
47,2020-09-02,ATM,김민신,21000,0,21000
48,2020-09-05,ATM,손진연,9000,0,9000
49,2020-09-12,ATM,이신현,21000,0,21000
50,2020-09-14,ATM,김돈나,18000,0,18000
3,2020-10-16,ATM,손돈효,8000,0,28000
22,2020-10-23,ATM,손나민,11000,0,15000
27,2020-10-28,ATM,유돈신,8000,0,31000
6,2020-11-04,ATM,정진나,17000,0,20000
26,2020-11-08,김제수,ATM,0,13000,2000
31,2020-11-08,김현현,ATM,0,3000,15000
8,2020-11-16,ATM,최형정,20000,0,26000
30,2020-11-16,ATM,손찬진,11000,0,34000
14,2020-11-20,김형민,ATM,0,3000,24000
45,2020-11-29,최연신,ATM,0,5000,7000
9,2020-12-03,최수현,ATM,0,5000,13000
1,2020-12-06,박민신,최효효,10000,0,25000
21,2020-12-06,박민신,최효효,0,10000,4000
6,2020-12-13,ATM,정진나,12000,0,32000
43,2020-12-18,ATM,정돈연,12000,0,41000
9,2020-12-28,손현찬,최수현,4000,0,17000
35,2020-12-28,손현찬,최수현,0,4000,25000
11,2021-01-12,ATM,박석나,8000,0,25000
11,2021-01-20,ATM,박석나,12000,0,37000
24,2021-01-29,정효수,ATM,0,18000,0
8,2021-02-02,최형정,ATM,0,12000,14000
35,2021-02-07,ATM,손현찬,4000,0,29000
29,2021-02-16,ATM,박연형,2000,0,16000
22,2021-02-22,ATM,손나민,4000,0,19000
12,2021-02-24,ATM,최제정,17000,0,23000
24,2021-03-04,ATM,정효수,18000,0,18000
5,2021-03-12,손찬제,ATM,0,20000,9000
14,2021-03-13,김형민,ATM,0,5000,19000
42,2021-03-13,이정정,ATM,0,14000,12000
1,2021-03-15,손현찬,최효효,19000,0,44000
35,2021-03-15,손현찬,최효효,0,19000,10000
42,2021-03-15,이정정,ATM,0,10000,2000
9,2021-03-16,박정정,최수현,2000,0,19000
2,2021-03-16,박정정,최수현,0,2000,14000
47,2021-03-17,김민신,ATM,0,12000,9000
24,2021-03-22,ATM,정효수,16000,0,34000
31,2021-03-22,김현현,ATM,0,8000,7000
3,2021-03-25,ATM,손돈효,17000,0,45000
2,2021-03-28,ATM,박정정,4000,0,18000
26,2021-03-30,ATM,김제수,14000,0,16000
